scan_file,image,bucket,bucket_label,rule_label,total_dependency_count,vuln_total,critical_cve_count,high_cve_count,cvss_ge_7_count,max_cvss,unique_cwe_count,top25_cwe_count,justification,confidence
data/scans/high-qual/alpine-3.18.json,alpine:3.18,high-qual,ALLOW,ALLOW,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No vulnerabilities of any severity were detected across all 16 dependencies. All vulnerability counts, including critical, high, and CVSS scores, are zero, indicating a clean security profile.",high
data/scans/high-qual/alpine-3.19.json,alpine:3.19,high-qual,ALLOW,ALLOW,16.0,2.0,0.0,0.0,0.0,3.3,2.0,0.0,"No critical or high CVEs are present. The 2 total vulnerabilities are low-severity (max_cvss 3.3) and do not map to any MITRE Top 25 weakness classes, indicating negligible risk across all 16 components.",high
data/scans/high-qual/alpine-latest.json,alpine:latest,high-qual,ALLOW,WARN,17.0,2.0,1.0,1.0,1.0,9.8,2.0,1.0,"One critical CVE with max_cvss 9.8 is a serious finding. However, with only 2 unique CWE types and 1 Top 25 CWE match across 17 components, the breadth indicators suggest this is an isolated exploitable dependency, not a systemic compromise. Remediation is urgent but not emergency-level.",high
data/scans/high-qual/alpine-edge.json,alpine:edge,high-qual,ALLOW,ALLOW,17.0,1.0,0.0,0.0,0.0,5.5,1.0,0.0,No critical or high CVEs are present. The single vulnerability is low-severity (max_cvss 5.5) and does not map to a MITRE Top 25 weakness. The risk profile is negligible across 17 components.,high
data/scans/high-qual/ubuntu-22.04.json,ubuntu:22.04,high-qual,ALLOW,WARN,102.0,16.0,0.0,4.0,5.0,8.6,15.0,5.0,"No critical CVEs, but 4 HIGH CVEs and max_cvss 8.6 indicate actionable risk. Across 102 components, 5 Top 25 CWE matches and 15 unique weakness types suggest isolated remediation targets rather than systemic compromise — a sprint-cycle fix, not an emergency.",high
data/scans/high-qual/ubuntu-24.04.json,ubuntu:24.04,high-qual,ALLOW,WARN,93.0,9.0,0.0,1.0,2.0,8.6,9.0,4.0,"No critical CVEs, but one HIGH CVE with max_cvss 8.6 indicates actionable risk. Across 93 components, 4 Top 25 CWE matches and 9 unique weakness types suggest isolated remediation targets rather than systemic compromise, fitting a sprint-cycle fix.",high
data/scans/high-qual/ubuntu-noble.json,ubuntu:noble,high-qual,ALLOW,WARN,93.0,9.0,0.0,1.0,2.0,8.6,9.0,4.0,"No critical CVEs, but one high-severity CVE and a max_cvss of 8.6 indicate actionable risk. With 9 unique CWEs and 4 Top 25 CWE matches across 93 components, the risk appears contained to isolated remediation targets, suitable for a scheduled fix.",high
data/scans/high-qual/ubuntu-jammy.json,ubuntu:jammy,high-qual,ALLOW,WARN,102.0,16.0,0.0,4.0,5.0,8.6,15.0,5.0,"No critical CVEs, but 4 HIGH CVEs and max_cvss 8.6 indicate actionable risk. Across 102 components, 5 Top 25 CWE matches and 15 unique weakness types suggest isolated remediation targets rather than systemic compromise — a sprint-cycle fix, not an emergency.",high
data/scans/high-qual/debian-bookworm-slim.json,debian:bookworm-slim,high-qual,ALLOW,BLOCK,89.0,46.0,3.0,14.0,10.0,10.0,29.0,8.0,"Three critical CVEs with max_cvss 10.0, alongside 14 high-severity findings and 8 Top 25 CWE matches across 89 components, indicate multiple independent, immediately exploitable entry points. This broad attack surface requires emergency remediation.",high
data/scans/high-qual/debian-bullseye-slim.json,debian:bullseye-slim,high-qual,ALLOW,BLOCK,97.0,65.0,4.0,29.0,20.0,10.0,39.0,14.0,"4 critical CVEs with max_cvss 10.0, alongside 29 high CVEs, and 14 Top 25 CWE matches across 39 unique weakness types in 97 components indicate multiple independent, high-severity exploitable paths, requiring immediate remediation.",high
